번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
70.0,미술관,서울시립 남서울미술관,서울특별시 관악구 남부순환로 2076,37.47605354,126.9794659,02-2124-8800,,https://sema.seoul.go.kr/,평일(화~금) 오전 10시 ~ 오후 8시 (관람 종료 1시간 전까지 입장)<br>토 ? 일 ? 공휴일 오전 10시~오후 6시,무료,"1월 1일 , 매주 월요일<br>월요일이 공휴일인 경우 정상 개관",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0456ff55c6324143aba768e734c366de&thumb=Y,-,"<div style='text-align: left;' align='left'><span style='font-size: 14pt;'>남서울미술관은 역사의 정취가 가득한, 오래 머물고 싶은 미술관입니다.</span></div><div style='text-align: left;' align='left'><span style='font-size: 12px;'><br></span></div><div style='text-align: left;' align='left'><span style='font-size: 14pt;'>미술관이 둥지를 튼 이곳은 대한제국(1897~1910) 시절 벨기에 영사관으로 사용된 건물(사적 제254호)로, 1905년 회현동에 준공되어 1983년 지금의 남현동으로 옮겨졌습니다.</span></div><div style='text-align: left;' align='left'><span style='font-size: 14pt;'>길게 뻗은 복도를 중심으로 양옆으로 자유롭게 배열된 두 개 층의 방들에서는 다양한 층위의 관람객에 특화된 공공 프로그램을 소개합니다.</span></div>",무료,,,,,,,
117.0,기타,관악구민종합체육센터,서울특별시 관악구 낙성대로3길 37,37.47306731,126.9603153,02-870-7600,,http://www.gwanakgongdan.or.kr,,,"매월 첫째주 일요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100829&thumb=Y,,"<p></p><p>관악구민들에게 생활체육?문화강좌 프로그램을 제공하는 공간입니다.<br>- 대지면적 10,357㎡, 건물총면적 6,986㎡ (지하 2층?지상 3층)</p><p><br></p><p>■ <b>시설규모 및 주요시설</b></p><p>층별<span style='white-space:pre'>	</span>면적 (m²)<span style='white-space:pre'>	</span>주요시설명<br>3층<span style='white-space: pre;'>	</span>1.142<span style='white-space: pre;'>	</span>헬스장, 관람석, 스피닝실, 강당<br>2층<span style='white-space: pre;'>	</span>1.830<span style='white-space: pre;'>	</span>대체육관, 다목적실, 소체육관, 탈의실, 샤워실, 피아노실<br>1층<span style='white-space: pre;'>	</span>1.136<span style='white-space: pre;'>	</span>사무실, 강의실, 스크린 골프장, 매점, 기구필라테스실<br>지하1층<span style='white-space: pre;'>	</span>2.147<span style='white-space: pre;'>	</span>수영장, 탁구장, 스쿼시장, 탈의실, 샤워실, 안내데스크</p><p><br></p><p>■ 이용시간<br>   </p><table width='100%' bgcolor='#dddddd' border='1' cellspacing='1' cellpadding='5'> <tbody> <tr class='table_th'> <th scope='col'>구분</th> <th scope='col'>평일(월~금)</th> <th scope='col'>토요일</th> <th scope='col'>일요일</th></tr> <tr align='middle' bgcolor='#ffffff'> <td>수영장</td> <td>06:00~21:50</td> <td>자유수영 운영</td> <td align='left'>* 운영안함</td></tr> <tr align='middle' bgcolor='#ffffff'> <td>헬스장</td> <td>06:00~21:50</td> <td>06:00~19:50</td> <td align='left'>* 운영안함</td></tr> <tr align='middle' bgcolor='#ffffff'> <td>스쿼시장</td> <td>06:00~21:50</td> <td>09:00~16:50</td> <td align='left'>* 운영안함</td></tr> <tr align='middle' bgcolor='#ffffff'> <td>접수</td> <td align='left' colspan='2'><p>- 방문접수 접수기간&nbsp;기존회원 : 매월 13일~22일, 신규회원 : 매월 23일~말일 09:00~18:00<br>- 인터넷접수 접수기간&nbsp;기존회원 : 매월 13일~22일, 신규회원 : 매월 23일~ 말일 07:00~23:59<br>&nbsp; * 신규접수 첫날이 주말 및 공휴일인 경우 익일 평일부터 접수 시작</p></td> <td align='left'><br></td></tr> <tr align='middle' bgcolor='#ffffff'> <td>휴관일</td> <td align='left' colspan='3'>매월 첫째주 일요일 / 법정공휴일</td></tr></tbody></table>",무료,,,,,,,
165.0,문화예술회관,관악문화관,서울  관악구 신림동 151-858  ),37.4679596,126.94475,02-887-6890,02-887-6893,http://www.gwanakcullib.seoul.kr/,09:00 ~ 19:00,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100860&thumb=Y,,<img src=&quot;http://culture.seoul.go.kr/data/cf/20110120143241.jpg&quot; />,무료,,,,,,,
341.0,기타,관악청소년센터,서울특별시 관악구 신림로23길 17,37.4702439,126.9352433,02-876-0636,,http://www.goyouth.or.kr/index.php,,,"일요일, 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101397&thumb=Y,,<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>관악청소년센터 전문적인 청소년활동시설&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>전문적인 관악청소년센터는 21세기를 주도할 창의적 청소년 육성을 목적으로 설립된 청소년 전문수련활동시설입니다.</span></div>,무료,,,,,,,
342.0,기타,관악구청,서울특별시 관악구 관악로 145,37.47821067,126.9515012,02-879-5000,,http://www.gwanak.go.kr/site/gwanak/main.do,,,"주말, 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101398&thumb=Y,,"<p>관악이라는 이름이 서울특별시 행정기구의 명칭으로 처음 등장한 것은 1962년 11월 21일자 법률 제1172호로 1963년 1월 1일부터 서울특별시 행정구역을 확장함에 따라 경기도 시흥군 동면 시흥리, 독산리, 가리봉리, 신림리, 봉천리를 영등포구에 편입하고 새로 편입된 지역의 행정처리를 위해 출장소를 설치하면서 그 명칭을 ‘관악 출장소’로 명명하면서부터 이나, 우리나라 지방행정구역의 이름으로 등장하게 된 것은 1973년 3월 12일자 대통령령 제6548호로 동년 7월 1일, 지금의 관악구를 비롯하여 동작구와 서초구 지역 일부를 영등포구에서 분리, 별도의 구를 신설하고 “서울특별시 관악구”로 명명하면서부터이다.</p><div><br></div><div>관악구청은 관악구의 행정과 민원을 담당하는 공공기관임</div>",무료,,,,,,,
487.0,박물관/기념관,호림박물관(신림본관),서울특별시 관악구 남부순환로152길 53,37.4808823,126.9182364,02-858-8309,,https://www.horimmuseum.org/ko,10:00~17:00,일반 3000원학생 1000원,월요일1월1일설날당일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100092&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>고려청자 조선백자등 마음껏 감상할 수 있는 곳이 호림박물관이다．</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이 박물관에는 도자기 2천1백70여점을 비롯해 토기 2천5백여점，회화?전적 1천5백40점등 총6천8백여점을 소장하고 있다．</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이중에는 국보8점과 보물이 35점이 들어있다．</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>특히 호림박물관은 청동기시대부터 고려시대까지 다양한 유형의 유물을 소장하여 토기의 발전을 체계적으로 살펴볼 수 있고,&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>도자기류로 청자와 분청사기，백자등은 고려및 조선시대의 문화와 생활상，사회구조등을 파악할 수 있다．</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>전적류도 호림소장품중 비중이 높은 편．고려시대 초조대장경 및 조선시대 초기의 목판본과 활자본등 다양하게 구비하고 있다．</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>특히 초조대장경은 고려전기의 불교계의 동향과 대외관계 등을 이해하는데 중요한 문헌이다.</span></div>",유료,,,,,,,
610.0,공연장,관악아트홀,서울특별시 관악구 신림로3길 35,37.46755336,126.9449624,02-828-5854,,www.gfac.or.kr,,0,없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fa71c280dacf4ecc805ae58baf88a1ea&thumb=Y,,"<p><span style='font-family: tahoma; font-size: 12pt;'>최상의 음향과 조명, 무대시설 장비를 갖춘 698석 규모의 아트홀은 관악 문화의 전당으로&nbsp;</span></p><p><span style='font-family: tahoma; font-size: 12pt;'>관객들과 더욱 친숙하고 생동감을 느낄 수 있는 오케스트라, 콘서트, 뮤지컬 등<span style='font-family: tahoma;'>의 </span>수준 높은 공연을 할 수 있는 현대식 아트홀입니다.</span><br></p><p><span style='font-family: NotoSans, ？？？？？？？？, ' malgun='' gothic',='' sans-serif;='' font-size:='' 18px;'=''><br></span></p><h4 class='process' style='margin: 50px 0px 0px; padding: 0px; font-size: 20px; line-height: 29px; position: relative; color: rgb(34, 34, 34); font-family: NotoSans, ？？？？？？？？, ' malgun='' gothic',='' sans-serif;'=''>대관신청 안내</h4><div class='process' style='margin: 10px 0px 0px; padding: 0px; word-break: keep-all; overflow-wrap: break-word; font-size: 15px; color: rgb(102, 102, 102); line-height: 28px; font-family: NotoSans, ？？？？？？？？, ' malgun='' gothic',='' sans-serif;'=''>○ 수시 대관신청 : 매월(1일~10일) (단, 신청하는 해당 월은 대관 신청 불가, 다음 달부터 상?하반기 잔여일정 중에서만 신청 가능)<br>- 대관일정 2개월 전 대관일에 한하여 매월 1~10일 수시 대관 신청 접수 후 심의 의결</div>",무료,,,,,,,
